Subject,SessionDate,SVO_angle,SVO_type,DAL,DIA,DIC,DJG,IA_Index
104,02-09-2021,-0.2682928,4,1,0.5,0,0.5,999
105,02-04-2021,0.3168317,3,0.5,0,0.5,0.25,999
106,12-06-2020,-0.2916667,4,1,0.5,0,0.5,999
108,01-27-2021,-3.53E-02,3,1,0.5,0,0.5,999
111,02-08-2021,-0.2916667,4,1,0.5,0,0.5,999
115,12-13-2020,0.6969697,2,0.5694444,6.94E-02,0.4305556,0.2916667,0.1923077
118,06-19-2021,0.6969697,2,0.5555556,8.33E-02,0.4444444,0.3333333,0.2
120,01-20-2021,0,3,1,0.5,0,0.5,999
121,01-26-2021,-0.2161017,4,0.5416667,0.2083333,0.4583333,0.4166667,999
124,01-24-2021,0.4857143,2,0.7083333,0.2083333,0.2916667,0.3125,999
125,09-04-2020,0.4567309,2,0.6527778,0.4305556,0.3472222,0.5833333,999
127,03-14-2021,0.6292683,2,0.4861111,0.2361111,0.5138889,0.1458333,0.6181818
130,02-01-2021,0.2046511,3,0.7083333,0.4583333,0.2916667,0.7291667,999
131,01-30-2021,0.4418605,2,0.7638889,0.4305556,0.2361111,0.6875,999
133,07-14-2021,-0.2916667,4,1,0.5,0,0.5,999
134,08-28-2021,0.1942148,3,0.9861111,0.4861111,1.39E-02,0.4791667,999
135,12-12-2020,0.6515151,2,0.5416667,6.94E-02,0.4583333,0.2916667,0.1923077
141,02-02-2021,-0.1372549,3,1,0.5,0,0.5,999
143,02-08-2021,-0.1372549,3,1,0.5,0,0.5,999
144,02-07-2021,-0.1372549,3,0.7777778,0.2777778,0.2222222,0.4166667,999
145,04-10-2021,0.3390558,3,0.5416667,6.94E-02,0.4583333,0.2708333,999
146,03-13-2021,0.1019608,3,0.9027778,0.4027778,9.72E-02,0.5208333,999
148,02-10-2021,0.1372549,3,1,0.5,0,0.5,999
150,02-04-2021,0.4083769,3,0.5277778,0.1666667,0.4722222,0.3541667,999
151,02-04-2021,1,2,0.4444444,0.1388889,0.5555556,0.125,0.5263158
155,08-28-2022,0.4999999,2,0.6111111,0.3055556,0.3888889,0.1666667,0.6470588
162,04-03-2021,0.1372549,3,1,0.5,0,0.5,999
163,03-13-2022,0.6127452,2,0.5,0,0.5,0.25,0
168,02-14-2022,0.1372549,3,0.8888889,0.5555556,0.1111111,0.6666667,999
173,08-17-2022,0.2439024,3,0.5555556,0.5,0.4444444,0.5,999
246,08-11-2022,-0.1833333,3,0.9861111,0.4861111,1.39E-02,0.5208333,999
255,08-30-2022,-0.2916667,4,1,0.5,0,0.5,999
